[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /go/Login                 --> github.com/WhatACotton/go-backend-test/internal/handler.LogIn (5 handlers)
[GIN-debug] POST   /go/SignUp                --> github.com/WhatACotton/go-backend-test/internal/handler.SignUp (5 handlers)
[GIN-debug] POST   /go/Registration          --> github.com/WhatACotton/go-backend-test/internal/handler.Register (5 handlers)
[GIN-debug] POST   /go/Modify                --> github.com/WhatACotton/go-backend-test/internal/handler.ModifyCustomer (5 handlers)
[GIN-debug] DELETE /go/DeleteCustomer        --> github.com/WhatACotton/go-backend-test/internal/handler.DeleteCustomer (5 handlers)
[GIN-debug] POST   /go/SessionEnd            --> github.com/WhatACotton/go-backend-test/internal/handler.LogOut (5 handlers)
[GIN-debug] GET    /go/GetCustomer           --> github.com/WhatACotton/go-backend-test/internal/handler.GetCustomer (5 handlers)
[GIN-debug] GET    /go/GetTransactions       --> github.com/WhatACotton/go-backend-test/internal/handler.GetTransaction (5 handlers)
[GIN-debug] POST   /go/PostCart              --> github.com/WhatACotton/go-backend-test/internal/handler.PostCart (5 handlers)
[GIN-debug] GET    /go/GetCart               --> github.com/WhatACotton/go-backend-test/internal/handler.GetCart (5 handlers)
[GIN-debug] POST   /go/Transaction           --> github.com/WhatACotton/go-backend-test/internal/handler.BuyItem (5 handlers)
[GIN-debug] POST   /go/stripe                --> github.com/WhatACotton/go-backend-test/internal/handler.Webhook (5 handlers)
[GIN-debug] GET    /go/item/top              --> github.com/WhatACotton/go-backend-test/internal/handler.Top (5 handlers)
[GIN-debug] GET    /go/item/all              --> github.com/WhatACotton/go-backend-test/internal/handler.ALL (5 handlers)
[GIN-debug] GET    /go/item/details          --> github.com/WhatACotton/go-backend-test/internal/handler.ItemDetails (5 handlers)
[GIN-debug] GET    /go/item/category/:category --> github.com/WhatACotton/go-backend-test/internal/handler.Category (5 handlers)
[GIN-debug] GET    /go/item/color/:color     --> github.com/WhatACotton/go-backend-test/internal/handler.Color (5 handlers)
[GIN-debug] GET    /go/item/maker/:MakerName --> github.com/WhatACotton/go-backend-test/internal/handler.ItemMakerGet (5 handlers)
[GIN-debug] POST   /go/Maker/AccountCreate   --> github.com/WhatACotton/go-backend-test/internal/handler.MakerStripeAccountCreate (5 handlers)
[GIN-debug] POST   /go/Maker/ItemMainCreate  --> github.com/WhatACotton/go-backend-test/internal/handler.MakerItemMainCreate (5 handlers)
[GIN-debug] POST   /go/Maker/ItemDetailCreate --> github.com/WhatACotton/go-backend-test/internal/handler.MakerItemDetailCreate (5 handlers)
[GIN-debug] POST   /go/Maker/ItemDetailModyfy --> github.com/WhatACotton/go-backend-test/internal/handler.MakerItemDetailModyfy (5 handlers)
[GIN-debug] GET    /go/Maker/Details         --> github.com/WhatACotton/go-backend-test/internal/handler.MakerDetailsGet (5 handlers)
[GIN-debug] POST   /go/Maker/DetailsRegister --> github.com/WhatACotton/go-backend-test/internal/handler.MakerAccountRegister (5 handlers)
[GIN-debug] GET    /go/Maker/GetItem         --> github.com/WhatACotton/go-backend-test/internal/handler.MakerGetItem (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2023/10/17 - 19:55:06 | 401 |    8.869128ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/17 - 19:55:06 | 401 |    2.972755ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/17 - 19:55:09 | 401 |    7.829496ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/17 - 19:55:09 | 401 |    6.033087ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/17 - 19:55:11 | 401 |    7.377824ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/17 - 19:55:11 | 401 |    5.210124ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/17 - 19:57:28 | 200 |  181.575445ms |       127.0.0.1 | POST     "/go/Login"
[GIN] 2023/10/17 - 19:57:29 | 401 |   23.199467ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/17 - 20:06:03 | 200 |   120.40598ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:03 | 200 |   75.241954ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:03 | 200 |   73.729273ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:03 | 200 |   80.347444ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:03 | 200 |   72.201339ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:03 | 200 |   73.411829ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:04 | 200 |   74.496113ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:04 | 200 |    60.82269ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:04 | 200 |   74.108501ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:04 | 200 |   73.942464ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:04 | 200 |   78.372836ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:04 | 200 |   76.477369ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:04 | 200 |   75.174042ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:05 | 200 |   74.515638ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:05 | 200 |   75.402486ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:05 | 200 |   75.237577ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:05 | 200 |   80.967216ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:05 | 200 |   74.763691ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:05 | 200 |   75.988156ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:05 | 200 |   67.561976ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:06 | 200 |    72.61131ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:06 | 200 |   78.471323ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:31 | 200 |   71.487618ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:31 | 200 |   78.644472ms |             ::1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:31 | 200 |    76.85314ms |       127.0.0.1 | POST     "/go/SignUp"
[GIN] 2023/10/17 - 20:06:31 | 200 |   80.432458ms |             ::1 | POST     "/go/SignUp"
