[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /go/Login                 --> github.com/WhatACotton/go-backend-test/internal/handler.LogIn (5 handlers)
[GIN-debug] POST   /go/Registration          --> github.com/WhatACotton/go-backend-test/internal/handler.Register (5 handlers)
[GIN-debug] POST   /go/Modify                --> github.com/WhatACotton/go-backend-test/internal/handler.ModifyCustomer (5 handlers)
[GIN-debug] DELETE /go/DeleteCustomer        --> github.com/WhatACotton/go-backend-test/internal/handler.DeleteCustomer (5 handlers)
[GIN-debug] POST   /go/SessionEnd            --> github.com/WhatACotton/go-backend-test/internal/handler.LogOut (5 handlers)
[GIN-debug] GET    /go/GetCustomer           --> github.com/WhatACotton/go-backend-test/internal/handler.GetCustomer (5 handlers)
[GIN-debug] GET    /go/GetTransactions       --> github.com/WhatACotton/go-backend-test/internal/handler.GetTransaction (5 handlers)
[GIN-debug] POST   /go/PostCart              --> github.com/WhatACotton/go-backend-test/internal/handler.PostCart (5 handlers)
[GIN-debug] GET    /go/GetCart               --> github.com/WhatACotton/go-backend-test/internal/handler.GetCart (5 handlers)
[GIN-debug] POST   /go/Transaction           --> github.com/WhatACotton/go-backend-test/internal/handler.BuyItem (5 handlers)
[GIN-debug] POST   /go/stripe                --> github.com/WhatACotton/go-backend-test/internal/handler.Webhook (5 handlers)
[GIN-debug] GET    /go/item/top              --> github.com/WhatACotton/go-backend-test/internal/handler.Top (5 handlers)
[GIN-debug] GET    /go/item/all              --> github.com/WhatACotton/go-backend-test/internal/handler.ALL (5 handlers)
[GIN-debug] GET    /go/item/details/:ItemID  --> github.com/WhatACotton/go-backend-test/internal/handler.ItemDetails (5 handlers)
[GIN-debug] GET    /go/item/category/:category --> github.com/WhatACotton/go-backend-test/internal/handler.Category (5 handlers)
[GIN-debug] GET    /go/item/color/:color     --> github.com/WhatACotton/go-backend-test/internal/handler.Color (5 handlers)
[GIN-debug] GET    /go/item/maker/:MakerName --> github.com/WhatACotton/go-backend-test/internal/handler.ItemMakerGet (5 handlers)
[GIN-debug] GET    /go/item/maker/id/:StripeAccountID --> github.com/WhatACotton/go-backend-test/internal/handler.ItemMakerIDGet (5 handlers)
[GIN-debug] POST   /go/Maker/AccountCreate   --> github.com/WhatACotton/go-backend-test/internal/handler.MakerStripeAccountCreate (5 handlers)
[GIN-debug] POST   /go/Maker/ItemMainCreate  --> github.com/WhatACotton/go-backend-test/internal/handler.MakerItemMainCreate (5 handlers)
[GIN-debug] POST   /go/Maker/ItemDetailCreate --> github.com/WhatACotton/go-backend-test/internal/handler.MakerItemDetailCreate (5 handlers)
[GIN-debug] POST   /go/Maker/ItemDetailModyfy --> github.com/WhatACotton/go-backend-test/internal/handler.MakerItemDetailModyfy (5 handlers)
[GIN-debug] GET    /go/Maker/Details         --> github.com/WhatACotton/go-backend-test/internal/handler.MakerDetailsGet (5 handlers)
[GIN-debug] POST   /go/Maker/DetailsRegister --> github.com/WhatACotton/go-backend-test/internal/handler.MakerAccountRegister (5 handlers)
[GIN-debug] GET    /go/Maker/GetItem         --> github.com/WhatACotton/go-backend-test/internal/handler.MakerGetItem (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2023/10/30 - 00:16:51 | 200 |   11.560496ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:16:52 | 200 |    5.091709ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:16:53 | 200 |    1.407087ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/10/30 - 00:16:59 | 200 |    2.927279ms |       127.0.0.1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:16:59 | 200 |   11.444268ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:16:59 | 200 |    1.367668ms |       127.0.0.1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:16:59 | 200 |    8.743958ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:06 | 200 |    5.686098ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:06 | 200 |    5.353742ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:07 | 200 |   13.100077ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:07 | 200 |    1.962518ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:17:07 | 200 |   13.019671ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:07 | 200 |    3.513361ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/10/30 - 00:17:07 | 200 |   13.058282ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:11 | 200 |    8.512288ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:12 | 200 |   14.134158ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:12 | 401 |   11.121408ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:17:13 | 200 |   14.274635ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:13 | 401 |     7.79204ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:17:14 | 200 |   18.410451ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:22 | 200 |  189.668778ms |             ::1 | POST     "/go/Login"
[GIN] 2023/10/30 - 00:17:22 | 200 |   21.164841ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:22 | 200 |   19.300165ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:17:22 | 200 |   16.147264ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:22 | 200 |   18.388404ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:22 | 200 |   15.204395ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/10/30 - 00:17:31 | 200 |     6.54229ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:32 | 200 |   18.260407ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:32 | 200 |   15.215855ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:32 | 200 |   20.727429ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:32 | 200 |   15.400012ms |             ::1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:33 | 200 |    7.673858ms |       127.0.0.1 | GET      "/go/GetCart"
[GIN] 2023/10/30 - 00:17:35 | 200 |   14.742965ms |             ::1 | GET      "/go/GetCart"
