[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /go/Login                 --> github.com/WhatACotton/go-backend-test/internal/handler.LogIn (5 handlers)
[GIN-debug] POST   /go/Registration          --> github.com/WhatACotton/go-backend-test/internal/handler.Register (5 handlers)
[GIN-debug] POST   /go/Modify                --> github.com/WhatACotton/go-backend-test/internal/handler.ModifyCustomer (5 handlers)
[GIN-debug] DELETE /go/DeleteCustomer        --> github.com/WhatACotton/go-backend-test/internal/handler.DeleteCustomer (5 handlers)
[GIN-debug] POST   /go/SessionEnd            --> github.com/WhatACotton/go-backend-test/internal/handler.LogOut (5 handlers)
[GIN-debug] GET    /go/GetCustomer           --> github.com/WhatACotton/go-backend-test/internal/handler.GetCustomer (5 handlers)
[GIN-debug] GET    /go/GetTransactions       --> github.com/WhatACotton/go-backend-test/internal/handler.GetTransaction (5 handlers)
[GIN-debug] POST   /go/PostCart              --> github.com/WhatACotton/go-backend-test/internal/handler.PostCart (5 handlers)
[GIN-debug] GET    /go/GetCart               --> github.com/WhatACotton/go-backend-test/internal/handler.GetCart (5 handlers)
[GIN-debug] POST   /go/Transaction           --> github.com/WhatACotton/go-backend-test/internal/handler.BuyItem (5 handlers)
[GIN-debug] POST   /go/stripe                --> github.com/WhatACotton/go-backend-test/internal/handler.Webhook (5 handlers)
[GIN-debug] GET    /go/item/top              --> github.com/WhatACotton/go-backend-test/internal/handler.Top (5 handlers)
[GIN-debug] GET    /go/item/all              --> github.com/WhatACotton/go-backend-test/internal/handler.ALL (5 handlers)
[GIN-debug] GET    /go/item/details/:ItemID  --> github.com/WhatACotton/go-backend-test/internal/handler.ItemDetails (5 handlers)
[GIN-debug] GET    /go/item/category/:category --> github.com/WhatACotton/go-backend-test/internal/handler.Category (5 handlers)
[GIN-debug] GET    /go/item/color/:color     --> github.com/WhatACotton/go-backend-test/internal/handler.Color (5 handlers)
[GIN-debug] GET    /go/item/maker/:MakerName --> github.com/WhatACotton/go-backend-test/internal/handler.ItemMakerGet (5 handlers)
[GIN-debug] GET    /go/item/maker/id/:StripeAccountID --> github.com/WhatACotton/go-backend-test/internal/handler.ItemMakerIDGet (5 handlers)
[GIN-debug] POST   /go/Maker/AccountCreate   --> github.com/WhatACotton/go-backend-test/internal/handler.MakerStripeAccountCreate (5 handlers)
[GIN-debug] POST   /go/Maker/ItemMainCreate  --> github.com/WhatACotton/go-backend-test/internal/handler.MakerItemMainCreate (5 handlers)
[GIN-debug] POST   /go/Maker/ItemDetailCreate --> github.com/WhatACotton/go-backend-test/internal/handler.MakerItemDetailCreate (5 handlers)
[GIN-debug] POST   /go/Maker/ItemDetailModyfy --> github.com/WhatACotton/go-backend-test/internal/handler.MakerItemDetailModyfy (5 handlers)
[GIN-debug] GET    /go/Maker/Details         --> github.com/WhatACotton/go-backend-test/internal/handler.MakerDetailsGet (5 handlers)
[GIN-debug] POST   /go/Maker/DetailsRegister --> github.com/WhatACotton/go-backend-test/internal/handler.MakerAccountRegister (5 handlers)
[GIN-debug] GET    /go/Maker/GetItem         --> github.com/WhatACotton/go-backend-test/internal/handler.MakerGetItem (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2023/11/01 - 00:16:10 | 200 |  295.124117ms |       127.0.0.1 | POST     "/go/Login"
[GIN] 2023/11/01 - 00:16:10 | 200 |   21.329591ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:16:10 | 200 |   32.173276ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:16:10 | 200 |   16.155702ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:16:15 | 200 |    1.389812ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/11/01 - 00:16:33 | 200 |    1.599582ms |             ::1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/11/01 - 00:16:33 | 200 |     2.19417ms |       127.0.0.1 | GET      "/go/item/details/ItemID2"
[GIN] 2023/11/01 - 00:16:36 | 200 |     20.0163ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:16:36 | 200 |    20.30144ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:16:36 | 200 |    16.05256ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:16:39 | 200 |   75.982294ms |       127.0.0.1 | GET      "/go/GetTransactions"
[GIN] 2023/11/01 - 00:16:54 | 200 |   22.026911ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:16:54 | 200 |   22.388227ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:16:54 | 200 |   16.331423ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:18:21 | 200 |   27.065331ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:18:21 | 200 |   20.493074ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:24:49 | 200 |   26.512682ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:24:49 | 200 |   37.186742ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:24:49 | 200 |   22.064021ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:25:13 | 200 |   14.723135ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:25:13 | 200 |   13.910146ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:25:13 | 200 |   13.901492ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:28:00 | 200 |   17.526852ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:28:01 | 200 |   14.568599ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:28:07 | 401 |    7.033889ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:28:07 | 200 |    17.83027ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:28:08 | 200 |   21.791538ms |       127.0.0.1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:28:08 | 200 |   18.105636ms |             ::1 | GET      "/go/Maker/Details"
[GIN] 2023/11/01 - 00:29:10 | 200 |    1.331443ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/11/01 - 00:29:23 | 200 |   18.307302ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:29:23 | 200 |   22.231551ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:29:23 | 200 |   15.670536ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 00:37:45 | 200 |   21.884427ms |       127.0.0.1 | GET      "/go/Maker/Details"
