[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /go/Login                 --> github.com/WhatACotton/go-backend-test/internal/handler.LogIn (5 handlers)
[GIN-debug] POST   /go/Registration          --> github.com/WhatACotton/go-backend-test/internal/handler.Register (5 handlers)
[GIN-debug] POST   /go/Modify                --> github.com/WhatACotton/go-backend-test/internal/handler.ModifyCustomer (5 handlers)
[GIN-debug] DELETE /go/DeleteCustomer        --> github.com/WhatACotton/go-backend-test/internal/handler.DeleteCustomer (5 handlers)
[GIN-debug] POST   /go/SessionEnd            --> github.com/WhatACotton/go-backend-test/internal/handler.LogOut (5 handlers)
[GIN-debug] GET    /go/GetCustomer           --> github.com/WhatACotton/go-backend-test/internal/handler.GetCustomer (5 handlers)
[GIN-debug] GET    /go/GetTransactions       --> github.com/WhatACotton/go-backend-test/internal/handler.GetTransaction (5 handlers)
[GIN-debug] POST   /go/PostCart              --> github.com/WhatACotton/go-backend-test/internal/handler.PostCart (5 handlers)
[GIN-debug] GET    /go/GetCart               --> github.com/WhatACotton/go-backend-test/internal/handler.GetCart (5 handlers)
[GIN-debug] POST   /go/Transaction           --> github.com/WhatACotton/go-backend-test/internal/handler.BuyItem (5 handlers)
[GIN-debug] POST   /go/stripe                --> github.com/WhatACotton/go-backend-test/internal/handler.Webhook (5 handlers)
[GIN-debug] GET    /go/item/top              --> github.com/WhatACotton/go-backend-test/internal/handler.Top (5 handlers)
[GIN-debug] GET    /go/item/all              --> github.com/WhatACotton/go-backend-test/internal/handler.ALL (5 handlers)
[GIN-debug] GET    /go/item/details/:ItemID  --> github.com/WhatACotton/go-backend-test/internal/handler.ItemDetails (5 handlers)
[GIN-debug] GET    /go/item/category/:category --> github.com/WhatACotton/go-backend-test/internal/handler.Category (5 handlers)
[GIN-debug] GET    /go/item/color/:color     --> github.com/WhatACotton/go-backend-test/internal/handler.Color (5 handlers)
[GIN-debug] GET    /go/item/maker/:MakerName --> github.com/WhatACotton/go-backend-test/internal/handler.ItemMakerGet (5 handlers)
[GIN-debug] GET    /go/item/maker/id/:StripeAccountID --> github.com/WhatACotton/go-backend-test/internal/handler.ItemMakerIDGet (5 handlers)
[GIN-debug] POST   /go/Maker/AccountCreate   --> github.com/WhatACotton/go-backend-test/internal/handler.MakerStripeAccountCreate (5 handlers)
[GIN-debug] POST   /go/Maker/ItemMainCreate  --> github.com/WhatACotton/go-backend-test/internal/handler.MakerItemMainCreate (5 handlers)
[GIN-debug] POST   /go/Maker/ItemDetailCreate --> github.com/WhatACotton/go-backend-test/internal/handler.MakerItemDetailCreate (5 handlers)
[GIN-debug] POST   /go/Maker/ItemDetailModyfy --> github.com/WhatACotton/go-backend-test/internal/handler.MakerItemDetailModyfy (5 handlers)
[GIN-debug] GET    /go/Maker/Details         --> github.com/WhatACotton/go-backend-test/internal/handler.MakerDetailsGet (5 handlers)
[GIN-debug] POST   /go/Maker/DetailsRegister --> github.com/WhatACotton/go-backend-test/internal/handler.MakerAccountRegister (5 handlers)
[GIN-debug] GET    /go/Maker/GetItem         --> github.com/WhatACotton/go-backend-test/internal/handler.MakerGetItem (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2023/11/01 - 07:58:01 | 401 |    6.261677ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 07:58:10 | 200 |  132.407924ms |       127.0.0.1 | POST     "/go/Login"
[GIN] 2023/11/01 - 07:58:10 | 200 |   29.064835ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 07:58:10 | 200 |    17.11593ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 07:58:36 | 200 |   25.032159ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 07:58:42 | 200 |   15.214954ms |       127.0.0.1 | POST     "/go/Modify"
[GIN] 2023/11/01 - 07:58:42 | 200 |   21.847561ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 07:58:42 | 401 |   15.259001ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 07:58:42 | 401 |   13.808458ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 07:58:46 | 401 |   10.612138ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:01:32 | 200 |   74.158325ms |             ::1 | POST     "/go/Login"
[GIN] 2023/11/01 - 08:01:33 | 200 |   20.281868ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:01:33 | 200 |   18.330042ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:23 | 200 |   23.509491ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:23 | 200 |   14.792445ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:23 | 200 |     16.7246ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:41 | 200 |    3.411337ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/11/01 - 08:02:43 | 200 |   27.146962ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:43 | 200 |    19.90598ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:43 | 200 |   17.745685ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:46 | 200 |   18.818803ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:47 | 200 |   18.870949ms |       127.0.0.1 | POST     "/go/Modify"
[GIN] 2023/11/01 - 08:02:47 | 200 |   22.593885ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:47 | 200 |   18.799374ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:47 | 200 |   20.063435ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:49 | 200 |   23.015218ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:50 | 200 |   23.356845ms |             ::1 | POST     "/go/Modify"
[GIN] 2023/11/01 - 08:02:50 | 200 |   27.064058ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:50 | 200 |   21.274501ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:50 | 200 |   28.588598ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:52 | 200 |   77.201825ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:52 | 200 |   35.534053ms |       127.0.0.1 | POST     "/go/Modify"
[GIN] 2023/11/01 - 08:02:52 | 200 |   20.884827ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:52 | 401 |   14.662452ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:52 | 401 |   14.449037ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 08:02:55 | 401 |    8.878483ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 09:48:32 | 200 |   28.089384ms |             ::1 | GET      "/go/item/all"
[GIN] 2023/11/01 - 09:48:52 | 200 |   87.387105ms |       127.0.0.1 | POST     "/go/Login"
[GIN] 2023/11/01 - 09:48:53 | 200 |   36.898603ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 09:48:53 | 200 |   19.346438ms |       127.0.0.1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 09:49:01 | 200 |   16.912866ms |             ::1 | GET      "/go/GetCustomer"
[GIN] 2023/11/01 - 09:50:52 | 200 |    3.195511ms |       127.0.0.1 | GET      "/go/item/all"
[GIN] 2023/11/01 - 09:50:59 | 200 |    3.887789ms |             ::1 | GET      "/go/item/details/ItemID"
[GIN] 2023/11/01 - 09:50:59 | 200 |    2.126161ms |       127.0.0.1 | GET      "/go/item/details/ItemID"
[GIN] 2023/11/01 - 09:51:00 | 200 |    1.523633ms |             ::1 | GET      "/go/item/details/ItemID"
[GIN] 2023/11/01 - 09:51:05 | 200 |    3.091087ms |       127.0.0.1 | GET      "/go/item/all"
